time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
0.000000000000000000e+00,1.000000000000000000e+00,3.284137371462504940e+20,1.349156865721391763e-01,0.000000000000000000e+00,4.335262237771667256e-03,1.571841851494696364e+07,0.000000000000000000e+00,1.571841851494696364e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+08,-2.692041823144736050e+32,-4.632926617389898747e+30,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,6.113292879886081209e+04
5.000000000000000000e-01,1.000000000000000000e+00,3.286266869203102597e+20,1.350031684942484544e-01,2.211962660685078211e-12,4.343102519103018110e-03,1.574684512825939246e+07,2.169590550515800714e+03,1.574684512825939246e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.001946519227354228e+08,-2.698659084145404305e+32,-4.644954624216261288e+30,3.001879897127264741e+30,0.000000000000000000e+00,0.000000000000000000e+00,2.214298304089353131e+00,1.066197729888819551e+40,1.961747432280803541e+39,nan,nan,6.125192522019227181e+04
1.000000000000000000e+00,1.000000000000000000e+00,3.288397747750929695e+20,1.350907071413160465e-01,9.192542972666023899e-12,4.350958144207346841e-03,1.577532737369555607e+07,4.343105076398700476e+03,1.577532737369555607e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.003896827391810715e+08,-2.705293335093123936e+32,-4.657013858161065148e+30,1.249148920347307518e+31,0.000000000000000000e+00,0.000000000000000000e+00,3.949568272010562708e+00,1.409500668937438445e+40,2.517455947148334143e+39,nan,nan,6.137115327034582151e+04
1.500000000000000000e+00,1.000000000000000000e+00,3.290530008001329234e+20,1.351783025501235302e-01,1.953338259341756851e-11,4.358829142940221987e-03,1.580386535950320214e+07,6.520551256995648146e+03,1.580386535950320214e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.005850931868608892e+08,-2.711944620000331828e+32,-4.669104400296175398e+30,2.657780018070183652e+31,0.000000000000000000e+00,0.000000000000000000e+00,5.313811294645129024e+00,1.625458668648341545e+40,2.828843390483280352e+39,nan,nan,6.149061340019146155e+04
2.000000000000000000e+00,1.000000000000000000e+00,3.292663650850222899e+20,1.352659547574762422e-01,3.261284104166883196e-11,4.366715545215331395e-03,1.583245919414078444e+07,8.701936786597594619e+03,1.583245919414078444e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.007808840047343075e+08,-2.718612982993676154e+32,-4.681226331903932274e+30,4.443173133284204215e+31,0.000000000000000000e+00,0.000000000000000000e+00,6.483239807957720480e+00,1.786013740313732805e+40,3.039388847296382658e+39,nan,nan,6.161030606147672370e+04
2.500000000000000000e+00,1.000000000000000000e+00,3.294798677194114990e+20,1.353536638002034720e-01,4.806208931482900339e-11,4.374617381004591507e-03,1.586110898627788574e+07,1.088726937446184456e+04,1.586110898627788574e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.009770559331992716e+08,-2.725298468314321536e+32,-4.693379734477705119e+30,6.556472984758631732e+31,0.000000000000000000e+00,0.000000000000000000e+00,7.527161057749538919e+00,1.915030712800413675e+40,3.195437726467613344e+39,nan,nan,6.173023170682856289e+04
3.000000000000000000e+00,1.000000000000000000e+00,3.296935087930089800e+20,1.354414297151584345e-01,6.562674537841278221e-11,4.382534680338259249e-03,1.588981484479560889e+07,1.307655674485862255e+04,1.588981484479560889e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.011736097140948623e+08,-2.732001120318239798e+32,-4.705564689722433943e+30,8.964199721896707768e+31,0.000000000000000000e+00,0.000000000000000000e+00,8.481476375220037056e+00,2.023538593644416990e+40,3.317747091702988972e+39,nan,nan,6.185039078975493612e+04
3.500000000000000000e+00,1.000000000000000000e+00,3.299072883955813581e+20,1.355292525392180758e-01,8.511663456432743705e-11,4.390467473305051729e-03,1.591857687878701836e+07,1.526980663707293570e+04,1.591857687878701836e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.013705460907041728e+08,-2.738720983476510810e+32,-4.717781279555182240e+30,1.164147816946437582e+32,0.000000000000000000e+00,0.000000000000000000e+00,9.367670449554003298e+00,2.117584971868746250e+40,3.417341026466297711e+39,nan,nan,6.197078376464656321e+04
4.000000000000000000e+00,1.000000000000000000e+00,3.301212066169534546e+20,1.356171323092834335e-01,1.063817136358021920e-10,4.398415790052250321e-03,1.594739519755752385e+07,1.746702680545859039e+04,1.594739519755752385e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.015678658077571243e+08,-2.745458102375622243e+32,-4.730029586105683612e+30,1.456879705172525519e+32,0.000000000000000000e+00,0.000000000000000000e+00,1.019981751290100291e+01,2.200859610685809603e+40,3.500737453537648082e+39,nan,nan,6.209141108677865850e+04
4.500000000000000000e+00,1.000000000000000000e+00,3.303352635470084178e+20,1.357050690622793321e-01,1.292994387683076681e-10,4.406379660785825561e-03,1.597626991062531061e+07,1.966822501945495605e+04,1.597626991062531061e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.017655696114332527e+08,-2.752212521717764647e+32,-4.742309691716902463e+30,1.773031203131458339e+32,0.000000000000000000e+00,0.000000000000000000e+00,1.098774770346973284e+01,2.275787209785908632e+40,3.572090184730153916e+39,nan,nan,6.221227321231261885e+04
